Owner,Address,City,State,ZIPCODE,Country,Coordinates,Type of Plant,Gas Source,Plant Capacity,SA/DA,Emissions,Year Built
Met-Mex Penoles SA de CV - Plant No.3,,Torreon,Coahuila,,Mexico,"25º 31' 44"" N, 103º 26' 31"" W",Metallurgical,Zinc,1162 MTPD,,,1991
Agrogen,Road to Tlacote El Bajo,Qro. CP,,76000,Mexico,"20° 35' 41"" N, 100° 28' 14"" W",Sulfur Burner,Elemental Sulfur,,,,
Fefermex SA de CV - Plant 1,,Cosoleacaque,Veracruz,,Mexico,"18°06'05""N 94°34'26""W",Sulfur Burner,Elemental Sulfur,"108,000 STPA",,,
Fefermex SA de CV - Plant 2,,Cosoleacaque,Veracruz,,Mexico,"18°06'05""N 94°34'26""W",Sulfur Burner,Elemental Sulfur,"218,000 STPA",,,
Fertilizantes de Minatitlan de CV,,Minatitlan ,Veracruz,,Mexico,"18° 0' 8"" N, 94° 34' 9"" W",Sulfur Burner,Elemental Sulfur,,3/1 DA,,
Grupo Fertinal SA de CV - Plant I,Blvd Adolfo Lopez Mateos No. 2836,Lazaro ,Carden,,Mexico,"17° 55' 17"" N, 102° 10' 51"" W",Sulfur Burner,Elemental Sulfur,"660,000 MTPA",DA,,
Grupo Fertinal SA de CV - Plant II,Blvd Adolfo Lopez Mateos No. 2836,Lazaro ,Carden,,Mexico,"17° 55' 20"" N, 102° 10' 52"" W",Sulfur Burner,Elemental Sulfur,"660,000 MTPA",DA,,
Orbia Advance Corp SAB de CV,Km 4.5 Carretera Matamors a Reynosa,Ejido las Rusias Matamoros ,Tamaulipas,CP 87560 ,Mexico,"25° 54' 19"" N, 97° 33' 15"" W",Sulfur Burner,Elemental Sulfur,,,,
Minera y Metalurgica del Boleo SA,Carretera Transpeninsular No.1 Km 5.5 al Norte de Santa Rosalia,Santa Rosalia,Baja California Sur,23920,Mexico,"27° 22' 5"" N, 112° 17' 50"" W",Sulfur Burner,Elemental Sulfur,2400 MTPD,DA,,2014
Minera y Metalurgica del Boleo SA,Carretera Transpeninsular No.1 Km 5.5 al Norte de Santa Rosalia,Santa Rosalia,Baja California Sur,23920,Mexico,"27° 22' 5"" N, 112° 17' 50"" W",Sulfur Burner,Elemental Sulfur,300 MTPD,,,2015
Univex SA - Plant 1 ,Carretera Panamericana Km 306 Tramo Salamanca - Celaya,Salamanca,Guanajuato,36700,Mexico,"20° 32' 17.5"" N, 101° 6' 1.5"" W",Sulfur Burner,Elemental Sulfur,160 MTPD,4 SA,,1972
Univex SA - Plant 2,Carretera Panamericana Km 306 Tramo Salamanca - Celaya,Salamanca,Guanajuato,36700,Mexico,"20° 32' 17.5"" N, 101° 6' 0"" W",Sulfur Burner,Elemental Sulfur,160 MTPD,4 SA,,1972
